ObsId RA DEC THETA POS_ERR SIGNIFICANCE GAIA_MATCH
8490 201.2433499745108 -43.04058362089512 3.782 0.1894489866035834 9.574898719787598 False
8490 201.46973603192865 -43.09606289711567 6.714 0.2366094798053941 25.82355690002441 True
8490 201.4437514172914 -43.1606218936261 8.152 0.2369697493048672 48.01696014404297 True
9546 211.2511249551987 53.65705961254904 0.3516666666666667 0.0765711555906383 15.83505916595459 False
9548 170.0728807666797 12.971882783463144 1.275 0.0386748103876605 60.85281753540039 False
14904 345.49250178555906 15.948703559294035 1.62 0.0841585700527913 13.364900588989258 False
4062 76.68677721975321 -31.88658870680426 6.245 0.1101741318934756 108.77521514892578 True
4062 76.77817721461076 -31.869820454790272 10.66 0.3709350165963833 41.93905258178711 False
4062 76.68116155824013 -31.979151038136077 4.623 0.2205495907832502 20.24419403076172 True
5885 318.12659932619124 -63.49898026536364 3.672 0.2106421106175894 8.786419868469238 False
5885 318.1163347343031 -63.44719832305917 1.888 0.0772399312481467 21.680870056152344 True
9841 175.00502802912297 -31.917418672849003 4.745 0.363050812299814 10.53874397277832 True
12264 90.00442872803535 -52.71504419773976 4.701 0.2767100330713763 12.066136360168455 False
12264 90.11118640707272 -52.7221234663525 7.644 0.5640619992458135 16.23258399963379 True
12884 212.12046698241707 -27.05799504651321 12.961 0.4060499533637473 33.672420501708984 False
13454 15.935693730603868 -21.812706512890927 7.384 0.3263999539318452 16.7299747467041 False
15113 45.268361416593024 -77.88092172934407 6.611 0.6491172130284858 7.617845058441162 True
15113 45.78805627036417 -77.74335895338677 9.305 0.7309116694166318 10.54832649230957 True
16454 53.16163226003447 -27.85948684635001 3.737 0.0860997143854298 47.09370422363281 False
16454 53.079386652235726 -27.798874733134884 2.278 0.2285250973451334 3.460390090942383 False
24835 19.432523854085872 -8.731552823611775 3.716 0.1684246864329773 7.736513137817383 False
23631 26.761745095335552 -9.25407158075332 4.928 0.4249331300765766 6.887124061584473 True
22442 77.14510861957423 -67.5195332239743 5.341 0.4273579843903372 11.526541709899902 True
22444 77.40597511111378 -67.55177472113239 1.808 0.1027606501283302 10.98344612121582 True
23022 77.82245536157369 -67.43193051112497 11.406 0.838214219027445 18.642013549804688 True
24636 77.40189837767288 -67.57550079293446 3.172 0.166346986037679 13.622714042663574 True
24638 77.40621365887372 -67.55178564084378 1.816 0.1549809508607529 7.99616003036499 True
26202 56.05343497128554 28.193722077314177 2.749 0.0624371805536946 81.20532989501953 True
